epoch,loss,acc,f1_macro,prec_macro,rec_macro,auroc
1,0.3299,0.9536,0.9538,0.9543,0.9538,0.9959
2,0.1405,0.9548,0.9547,0.9560,0.9555,0.9970
3,0.1033,0.9613,0.9611,0.9616,0.9617,0.9977
4,0.0827,0.9473,0.9477,0.9506,0.9471,0.9966
5,0.0682,0.9608,0.9607,0.9614,0.9612,0.9979
6,0.0547,0.9709,0.9710,0.9711,0.9712,0.9984
7,0.0422,0.9603,0.9602,0.9610,0.9607,0.9979
8,0.0342,0.9734,0.9736,0.9739,0.9734,0.9987
9,0.0275,0.9748,0.9749,0.9750,0.9750,0.9989
10,0.0211,0.9773,0.9774,0.9776,0.9773,0.9990
11,0.0150,0.9789,0.9789,0.9790,0.9790,0.9992
12,0.0107,0.9812,0.9813,0.9813,0.9813,0.9993
13,0.0082,0.9812,0.9813,0.9812,0.9814,0.9993
14,0.0052,0.9845,0.9846,0.9846,0.9846,0.9993
15,0.0050,0.9836,0.9836,0.9836,0.9837,0.9994
