epoch,loss,acc,f1_macro,prec_macro,rec_macro,auroc
1,0.6544,0.7440,0.7472,0.7633,0.7440,0.9392
2,0.4782,0.7965,0.7952,0.8060,0.7965,0.9550
3,0.4233,0.8037,0.8008,0.8080,0.8037,0.9615
4,0.3838,0.8185,0.8157,0.8159,0.8185,0.9659
5,0.3527,0.8361,0.8365,0.8387,0.8361,0.9692
6,0.3212,0.8410,0.8427,0.8466,0.8410,0.9727
7,0.2915,0.8552,0.8559,0.8594,0.8552,0.9753
8,0.2622,0.8570,0.8570,0.8572,0.8570,0.9767
9,0.2330,0.8657,0.8655,0.8671,0.8657,0.9786
10,0.2078,0.8706,0.8702,0.8736,0.8706,0.9799
11,0.1847,0.8788,0.8799,0.8821,0.8788,0.9819
12,0.1619,0.8811,0.8818,0.8828,0.8811,0.9826
13,0.1446,0.8868,0.8878,0.8903,0.8868,0.9836
14,0.1332,0.8872,0.8878,0.8893,0.8872,0.9841
15,0.1244,0.8879,0.8886,0.8898,0.8879,0.9843
