epoch,loss,acc,f1_macro,prec_macro,rec_macro
1,0.3981,0.9436,0.9444,0.9470,0.9439
2,0.1528,0.9377,0.9390,0.9440,0.9377
3,0.1126,0.9536,0.9537,0.9544,0.9542
4,0.0864,0.9595,0.9595,0.9594,0.9601
5,0.0706,0.9631,0.9633,0.9635,0.9636
6,0.0584,0.9686,0.9688,0.9693,0.9691
7,0.0474,0.9710,0.9714,0.9720,0.9713
8,0.0347,0.9766,0.9767,0.9767,0.9769
9,0.0295,0.9746,0.9749,0.9750,0.9748
10,0.0212,0.9786,0.9788,0.9792,0.9787
11,0.0157,0.9786,0.9788,0.9787,0.9789
12,0.0110,0.9794,0.9795,0.9795,0.9796
13,0.0084,0.9813,0.9816,0.9815,0.9816
14,0.0068,0.9802,0.9803,0.9803,0.9804
15,0.0057,0.9802,0.9804,0.9803,0.9804
