filter,image,psnr,ssim,texture_reduction_%,brightness_delta(L),eye_ratio_change_%,cheek_width_shrink_%
Smoothing,real_8639.jpg,36.787277999655046,0.9770633035496996,21.65,,,
Smoothing,real_4745.jpg,36.318274253342494,0.9634202710802697,56.87,,,
Smoothing,real_13705_1.jpg,39.44941707514896,0.9822945252740508,47.06,,,
Smoothing,real_19575_1.jpg,37.79164863847061,0.971822987194839,56.65,,,
Smoothing,real_25754_1.jpg,38.84986998508451,0.9826355541808914,26.75,,,
Smoothing,real_25517_1.jpg,37.28223320679727,0.9648293286234759,60.93,,,
Smoothing,real_35816_1.jpg,36.64277040473551,0.9762121508754683,42.65,,,
Smoothing,real_35131_1.jpg,39.067185934043714,0.9795414216005764,0.44,,,
Smoothing,real_49284.jpg,36.662907796357,0.9720457776838135,38.42,,,
Smoothing,real_44090_1.jpg,37.67183795879944,0.9559138381488664,81.14,,,
Whitening,real_8639.jpg,27.842628940313624,0.9805043465244644,,19.91,,
Whitening,real_4745.jpg,28.861592707818666,0.9898053763941103,,17.26,,
Whitening,real_13705_1.jpg,32.813924248404014,0.9950164893723132,,11.83,,
Whitening,real_19575_1.jpg,33.00149732679733,0.9958322493359781,,10.2,,
Whitening,real_25754_1.jpg,30.50406802564801,0.9925371033886115,,14.64,,
Whitening,real_25517_1.jpg,28.446142053023628,0.9883989427350555,,19.63,,
Whitening,real_35816_1.jpg,29.836942925168177,0.9881180227805005,,16.88,,
Whitening,real_35131_1.jpg,42.01034592340343,0.9980881399330398,,3.26,,
Whitening,real_49284.jpg,27.73470023577612,0.9850736912960901,,20.69,,
Whitening,real_44090_1.jpg,29.175165558335777,0.9903651201743703,,16.68,,
Eye Enlarging,real_8639.jpg,30.37665528286133,0.9732628741269246,,,-0.04,
Eye Enlarging,real_4745.jpg,31.346564901128467,0.9631893200147571,,,-0.01,
Eye Enlarging,real_13705_1.jpg,35.48396078962452,0.98376741204801,,,0.4,
Eye Enlarging,real_19575_1.jpg,36.29645566346312,0.9807596602332642,,,0.4,
Eye Enlarging,real_25754_1.jpg,32.31469464060199,0.9773874589246315,,,1.11,
Eye Enlarging,real_25517_1.jpg,38.54223684579518,0.9844379751489913,,,0.51,
Eye Enlarging,real_35816_1.jpg,34.198658771105784,0.9737798060904406,,,-0.37,
Eye Enlarging,real_35131_1.jpg,35.943827975358374,0.9883297018997833,,,0.29,
Eye Enlarging,real_49284.jpg,30.62255352210753,0.9715297408325675,,,0.21,
Eye Enlarging,real_44090_1.jpg,38.67373556497806,0.9863192910637771,,,0.82,
Face Reshaping,real_8639.jpg,24.995313760138117,0.8872316551223244,,,,8.0
Face Reshaping,real_4745.jpg,25.48426918601274,0.8452244663505607,,,,8.0
Face Reshaping,real_13705_1.jpg,26.397629992923267,0.9012431801140858,,,,8.0
Face Reshaping,real_19575_1.jpg,29.34104124714116,0.8929253946164734,,,,8.0
Face Reshaping,real_25754_1.jpg,26.02798704480222,0.8646693840480885,,,,8.0
Face Reshaping,real_25517_1.jpg,28.78143272142619,0.8924609095062206,,,,8.0
Face Reshaping,real_35816_1.jpg,25.99411247206813,0.8854858481248382,,,,8.0
Face Reshaping,real_35131_1.jpg,24.11942938467761,0.8765242113765044,,,,8.0
Face Reshaping,real_49284.jpg,27.764390485395523,0.9293890945576102,,,,8.0
Face Reshaping,real_44090_1.jpg,23.31445058206811,0.8905954441304855,,,,8.0
