evidence_feature,family,fake_source,n_fake,n_real,effect_size,auroc,auroc_ci_lower,auroc_ci_upper,direction,corr_with_v811_fake_prob,corr_with_cam_faithfulness,n_matched_cam,resolution_confound_corr_real,resolution_confound_corr_fake,face_size_confound_corr_real,face_size_confound_corr_fake,direction_consistent_across_sources,between_source_resolution_confound_spearman
freq_spectral_entropy,frequency,aiguard_unseen,60,210,-0.22507230769549533,0.4334920634920635,0.3571269841269841,0.5100019841269842,higher-in-real,0.04862461794943041,0.22142857142857136,15,-0.28213236655471485,0.25198144554058777,-0.4251551080498449,0.032120033342595174,False,-0.17205393993098306
freq_spectral_entropy,frequency,stylegan2_ood,60,210,-0.4487505236041123,0.36777777777777776,0.2952261904761905,0.4511984126984127,higher-in-real,0.2402333981661573,,0,-0.28213236655471485,,-0.4251551080498449,0.11503195332036678,False,-0.17205393993098306
freq_spectral_entropy,frequency,df40_dit,44,210,-0.3992922279703179,0.38885281385281384,0.3102083333333333,0.47642586580086577,higher-in-real,-0.09654686398872445,0.03636363636363637,11,-0.28213236655471485,,-0.4251551080498449,-0.12445384073291048,False,-0.17205393993098306
freq_spectral_entropy,frequency,df40_sit,45,210,-0.42863566167707273,0.38751322751322753,0.30517989417989416,0.4741931216931217,higher-in-real,0.22806324110671936,-0.3714285714285715,6,-0.28213236655471485,,-0.4251551080498449,-0.2032938076416337,False,-0.17205393993098306
freq_spectral_entropy,frequency,df40_ddim,45,210,-1.2826493375156574,0.14899470899470899,0.09808730158730158,0.2002142857142857,higher-in-real,0.20553359683794462,-0.21428571428571433,7,-0.28213236655471485,,-0.4251551080498449,-0.09802371541501975,False,-0.17205393993098306
freq_spectral_entropy,frequency,df40_pixart,45,210,-0.2710117490359444,0.4237037037037037,0.3517301587301587,0.49937566137566136,higher-in-real,-0.07285902503293806,-0.16666666666666669,9,-0.28213236655471485,,-0.4251551080498449,-0.041765480895915676,False,-0.17205393993098306
freq_spectral_entropy,frequency,df40_sd21,44,210,-1.381239583868326,0.12272727272727273,0.07759469696969697,0.17501893939393937,higher-in-real,-0.03565891472868217,0.4047619047619048,8,-0.28213236655471485,,-0.4251551080498449,0.024383368569415077,False,-0.17205393993098306
freq_spectral_entropy,frequency,midjourney,45,210,0.9260830870594297,0.771005291005291,0.707595238095238,0.8292486772486771,higher-in-fake,0.4743083003952569,0.09999999999999999,9,-0.28213236655471485,,-0.4251551080498449,-0.3209486166007905,False,-0.17205393993098306
freq_band_ratio_high_mid,frequency,aiguard_unseen,60,210,0.4192000438714228,0.6394444444444445,0.5658571428571428,0.7130972222222223,higher-in-fake,-0.039066407335370944,-0.007142857142857141,15,0.31488731581360047,0.1662005279097494,0.4317656028182344,0.13909419283134208,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,stylegan2_ood,60,210,1.2721878682186785,0.8319841269841269,0.7790476190476191,0.879375,higher-in-fake,-0.2421783828841345,,0,0.31488731581360047,,0.4317656028182344,0.05523756599055294,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,df40_dit,44,210,-0.17400962641567413,0.4746753246753247,0.383495670995671,0.5618154761904762,higher-in-real,0.44933051444679345,-0.18181818181818182,11,0.31488731581360047,,0.4317656028182344,0.3430584918957012,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,df40_sit,45,210,0.1943513399189539,0.5865608465608466,0.4999973544973545,0.668047619047619,higher-in-fake,0.06455862977602107,-0.028571428571428574,6,0.31488731581360047,,0.4317656028182344,-0.04150197628458498,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,df40_ddim,45,210,0.5639784904484827,0.7184126984126984,0.6536375661375662,0.777989417989418,higher-in-fake,-0.09723320158102765,0.5714285714285715,7,0.31488731581360047,,0.4317656028182344,-0.2913043478260869,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,df40_pixart,45,210,0.14478687376657892,0.5755555555555556,0.5008201058201058,0.649952380952381,higher-in-fake,-0.230566534914361,-0.11666666666666665,9,0.31488731581360047,,0.4317656028182344,0.00592885375494071,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,df40_sd21,44,210,0.1237070931637561,0.5240259740259741,0.4232548701298702,0.622448593073593,higher-in-fake,0.2957011980267794,0.4285714285714286,8,0.31488731581360047,,0.4317656028182344,0.11176885130373501,False,0.44447267815503955
freq_band_ratio_high_mid,frequency,midjourney,45,210,0.42307284768008335,0.6550264550264551,0.5841243386243387,0.7236058201058201,higher-in-fake,-0.22872200263504605,-0.21666666666666667,9,0.31488731581360047,,0.4317656028182344,0.1866930171277997,False,0.44447267815503955
freq_band_ratio_high_low,frequency,aiguard_unseen,60,210,0.6290846786574112,0.697063492063492,0.6261646825396825,0.770797619047619,higher-in-fake,-0.28191164212281195,0.4464285714285714,15,0.1353666551266325,0.21445229407709598,0.28977469898522534,-0.2833564879133093,False,-0.10514407440226743
