source,condition,covariate,smd
aiguard_unseen,pre_match_unmatched,resolution,-0.5446755296372543
aiguard_unseen,pre_match_unmatched,crop_scale,0.23940104916027535
aiguard_unseen,pre_match_unmatched,face_bbox_width,0.3963172176973883
aiguard_unseen,pre_match_unmatched,face_bbox_height,0.5095903207945554
aiguard_unseen,resolution_matched,resolution,10.584634276091265
aiguard_unseen,resolution_matched,crop_scale,2.27036187461221
aiguard_unseen,resolution_matched,face_bbox_width,3.0061900903384258
aiguard_unseen,resolution_matched,face_bbox_height,2.5023912686182515
aiguard_unseen,facesize_matched,resolution,-0.35464836737131256
aiguard_unseen,facesize_matched,crop_scale,0.06216382001330218
aiguard_unseen,facesize_matched,face_bbox_width,-0.030386635296919384
aiguard_unseen,facesize_matched,face_bbox_height,0.19460173112656587
aiguard_unseen,joint_matched,resolution,0.024162345118169566
aiguard_unseen,joint_matched,crop_scale,0.04863884952325159
aiguard_unseen,joint_matched,face_bbox_width,0.07619012106839854
aiguard_unseen,joint_matched,face_bbox_height,0.10859847600142547
stylegan2_ood,pre_match_unmatched,resolution,-0.5088661697859339
stylegan2_ood,pre_match_unmatched,crop_scale,0.5149095260094714
stylegan2_ood,pre_match_unmatched,face_bbox_width,0.6795325257489857
stylegan2_ood,pre_match_unmatched,face_bbox_height,0.9730046636497818
stylegan2_ood,resolution_matched,resolution,10.77187696426791
stylegan2_ood,resolution_matched,crop_scale,3.6404373923475144
stylegan2_ood,resolution_matched,face_bbox_width,4.29369978221034
stylegan2_ood,resolution_matched,face_bbox_height,4.187008307564706
stylegan2_ood,facesize_matched,resolution,-2.0591398982217335
stylegan2_ood,facesize_matched,crop_scale,-0.520238160127614
stylegan2_ood,facesize_matched,face_bbox_width,-0.5360536621755041
stylegan2_ood,facesize_matched,face_bbox_height,-0.36247079956935035
stylegan2_ood,joint_matched,resolution,
stylegan2_ood,joint_matched,crop_scale,
stylegan2_ood,joint_matched,face_bbox_width,
stylegan2_ood,joint_matched,face_bbox_height,
df40_dit,pre_match_unmatched,resolution,-0.5088661697859372
df40_dit,pre_match_unmatched,crop_scale,0.23702340369146854
df40_dit,pre_match_unmatched,face_bbox_width,0.3937560808322143
df40_dit,pre_match_unmatched,face_bbox_height,0.7385271612740811
df40_dit,resolution_matched,resolution,9.167630803290919
df40_dit,resolution_matched,crop_scale,2.764637261776117
df40_dit,resolution_matched,face_bbox_width,3.474628609798689
df40_dit,resolution_matched,face_bbox_height,3.442420924808134
df40_dit,facesize_matched,resolution,-0.6647028015026709
df40_dit,facesize_matched,crop_scale,0.09970050659566537
