image_path,class,source,orig_width,orig_height,orig_resolution,freq_spectral_entropy,freq_band_ratio_high_mid,freq_band_ratio_high_low,freq_band_ratio_mid_low,freq_high_energy_frac,freq_radial_powerlaw_slope,freq_powerlaw_residual_std,freq_logmag_mean,tex_local_variance_mean,tex_local_variance_std,tex_lbp_entropy,tex_lbp_uniformity,tex_glcm_contrast,tex_glcm_homogeneity,tex_glcm_energy,tex_highpass_energy,tex_autocorr_peak_sharpness,lm_symmetry_score,lm_interocular_over_facewidth,lm_mouthwidth_over_interocular,lm_pose_yaw_proxy,face_bbox_x0,face_bbox_x1,face_bbox_y0,face_bbox_y1,face_size_confound,boundary_margin_px,bnd_boundary_edge_contrast,bnd_ring_texture_diff,bnd_ring_mean_diff,v811_fake_prob,face_bbox_width,face_bbox_height,crop_scale,log_resolution,log_fbw,log_fbh,fake_label,source_group
C:\My_Project\AIGC\AIGuard\unseen\fake_425.jpg,fake,aiguard_unseen,256,256,65536,0.0970926134304575,0.177277386188507,0.0181086435914039,0.10214863717556,0.0008859189692884,-2.9198383271225268,0.2284147725645929,1.733676195144653,211.80386352539065,417.5821838378906,2.1636499042874617,0.1279589721730529,6.5684562557710064,0.5957151031434117,0.1881977100373007,6.30992603302002,55.23036193847656,0.1008103042840957,0.442434087530592,0.8000903666590748,0.1488107591867447,45.82526016235352,166.19691467285156,64.1444320678711,199.22146606445312,0.3240482714552649,24.778533935546875,74.8317642211914,1.6111984252929688,43.38856506347656,0.8391369086088787,120.37165451049805,135.07703399658203,0.3240482714552649,11.090354888959125,4.79058407750361,4.905845237892395,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_450.jpg,fake,aiguard_unseen,256,256,65536,0.099285793688835,0.1664197295904159,0.0126838088035583,0.0762157812714576,0.0007736111874692,-3.0806219525841163,0.2270976018990401,1.5065561532974243,182.82310485839844,400.5728149414063,2.193271078202484,0.1224950101662556,5.669011138042473,0.6132877442795439,0.1632273490750649,5.772401809692383,43.44416809082031,0.010289791971445,0.4761262559410645,1.0026763601281212,0.0302003603428602,55.11820602416992,168.21630859375,61.935394287109375,200.7948760986328,0.3129931424720666,23.205123901367188,66.49581146240234,4.018230438232422,51.340965270996094,0.8168235191292936,113.09810256958008,138.85948181152344,0.3129931424720666,11.090354888959125,4.728255606408226,4.933462499584933,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_270.jpg,fake,aiguard_unseen,256,256,65536,0.1876439492193959,0.1383968442678451,0.012064223177731,0.087171234190464,0.001290404703468,-3.6644300377348697,0.9495485672663648,1.1641218662261963,138.729736328125,280.6663818359375,2.101435383566109,0.1450497985928816,4.485103301015689,0.5867166102503524,0.1208006559344419,5.088795185089111,30.0206356048584,0.1804339736700058,0.4009443822150529,1.042145080832032,-0.1396912038326263,53.60767364501953,166.349365234375,47.12205123901367,163.89015197753906,0.262369124699809,47.12205123901367,58.84523391723633,7.67108154296875,37.401588439941406,0.8180255425719771,112.74169158935547,116.76810073852539,0.262369124699809,11.090354888959125,4.725099286881432,4.7601899229774025,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_219.jpg,fake,aiguard_unseen,256,256,65536,0.196485310393573,0.0477920211851596,0.0027205788064748,0.0569253750145435,0.000382612721296,-4.175571900026529,0.7876230174575722,0.6389853954315186,188.0234375,492.7621154785156,1.9912152464743,0.1693685580074464,6.245501500461667,0.6337192528837873,0.1322250673628254,4.789381980895996,16.905471801757812,0.3448611795902252,0.3132536338593044,0.7528587487067366,0.9312048554420472,41.45957946777344,163.63348388671875,29.655391693115234,178.76837158203125,0.3630762705790126,29.655391693115234,48.1353874206543,18.210498809814453,25.77678680419922,0.8374325713047881,122.17390441894531,149.11297988891602,0.3630762705790126,11.090354888959125,4.805445475806376,5.004704272903941,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_301.jpg,fake,aiguard_unseen,256,256,65536,0.1584061350007126,0.0766791552305221,0.0089833717793226,0.1171553283929824,0.000823366921395,-3.706973528684314,0.7349907583989282,1.0543276071548462,137.23678588867188,396.17718505859375,2.0529180202228807,0.1544518611769733,4.409496479686055,0.640539322053247,0.1517757476858967,4.474552154541016,34.461334228515625,0.3172472715377807,0.3832702160937446,1.0493559381285409,0.6201857328414917,52.00243377685547,178.80401611328125,33.13455581665039,175.20904541015625,0.3590415754563257,33.13455581665039,37.08200073242188,7.927772521972656,12.124748229980469,0.8218773605778011,126.80158233642578,142.07448959350586,0.3590415754563257,11.090354888959125,4.842623520919158,4.956351494662257,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,fake,aiguard_unseen,256,256,65536,0.1725738367181142,0.0910195559263229,0.012859346345067,0.1412811279296875,0.0013010607799515,-3.490681015380679,0.6850373582230916,1.635464429855347,316.52520751953125,585.9560546875,2.135618140986105,0.1395907960102886,9.958637753924272,0.4927380580729964,0.0828014437202237,8.667112350463867,30.818735122680664,0.1669101417064666,0.4020819891302032,1.1079207943368747,0.4747184216976166,40.08021926879883,156.8563690185547,49.11122512817383,161.7343292236328,0.2621112178956804,40.08021926879883,53.830352783203125,13.94743537902832,5.0732269287109375,0.7213738880755045,116.77614974975586,112.62310409545898,0.2621112178956804,11.090354888959125,4.760258852195029,4.724046882006204,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,fake,aiguard_unseen,256,256,65536,0.1163541250990159,0.1045682057738304,0.0252984315156936,0.2419323474168777,0.0016118721105158,-3.2105714450256366,0.6811496061650103,1.8035383224487305,325.9300537109375,605.1008911132812,2.1668784132379053,0.1319160334322165,9.72180747922435,0.467524571483596,0.0876441979045896,9.214515686035156,35.97758483886719,0.0453065745532512,0.3944094724284303,0.8325194274794088,-0.0598880797624588,63.99728393554688,162.91226196289062,67.24607849121094,164.97637939453125,0.1926616423480871,59.02362060546875,61.69329071044922,8.956720352172852,11.93083953857422,0.8208314905886027,98.91497802734375,97.73030090332031,0.1926616423480871,11.090354888959125,4.5942606733432845,4.5822116532708,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_233.jpg,fake,aiguard_unseen,256,256,65536,0.3079173360345325,0.0452520698308944,0.0032842038199305,0.0725757628679275,0.0007646224694326,-4.098912345387323,0.7944494333357898,0.9719728231430054,253.58084106445312,809.1231079101562,1.8608856153907696,0.2041994028913632,8.27579437903968,0.7147132185284382,0.2732196581351842,4.854357719421387,17.319740295410156,0.1754916459321975,0.4097000947284395,0.8922220775791087,0.3413149714469909,52.7611198425293,169.49632263183594,41.5037727355957,163.12892150878906,0.2829626994243924,41.5037727355957,61.33395004272461,19.1295166015625,3.819469451904297,0.8118684896817285,116.73520278930664,121.62514877319336,0.2829626994243924,11.090354888959125,4.75990814581246,4.800943763717699,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_255.jpg,fake,aiguard_unseen,256,256,65536,0.1747995968121934,0.1091459095478057,0.0087214270606637,0.0799061357975006,0.0009340066462755,-3.680136884479917,0.756937815959155,1.0799897909164429,134.5364990234375,252.66143798828125,2.0936481756858147,0.1474755289950802,4.372242613111723,0.584511797338432,0.1223415732307273,4.961753845214844,36.999942779541016,0.1590143591165542,0.3991146744970089,1.1081482943493637,-0.1583714485168457,51.44212341308594,169.12083435058594,40.72197723388672,166.80979919433594,0.2957161262998778,40.72197723388672,57.21086502075195,11.974143981933594,34.03819274902344,0.8204794702256422,117.6787109375,126.08782196044922,0.2957161262998778,11.090354888959125,4.767958122269047,4.8369786638461125,1,aiguard_unseen
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,fake,aiguard_unseen,256,256,65536,0.14813368416717,0.137134701013565,0.0158153623342514,0.1153272092342376,0.0010504849487915,-3.382109093503721,0.6182170658993195,1.4218618869781494,171.65513610839844,426.0506896972656,2.2283051913428014,0.1160739277462719,5.287638215604796,0.5760874558683536,0.1422288334641764,6.269247055053711,36.24486923217773,0.1952885240316391,0.4044312934841493,1.0818014198354156,0.2649150788784027,53.74837875366211,173.6751708984375,39.51469802856445,168.77186584472656,0.3089404794704883,39.51469802856445,57.5569953918457,10.308895111083984,21.287391662597656,0.8289936032364125,119.92679214477539,129.2571678161621,0.3089404794704883,11.090354888959125,4.786881491156189,4.861803968842439,1,aiguard_unseen
