image_path,source,k,masking_method,condition,score,drop,original_score
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,random_seed0,0.94007,0.004961,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,random_seed1,0.940829,0.004202,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,random_seed2,0.941043,0.003988,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,random_seed3,0.94451,0.000521,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,random_seed4,0.946146,-0.001115,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,hot,0.940927,0.004104,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,bottom,0.948914,-0.003883,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,blur,random_mean,0.94252,0.002511,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,hot,0.934864,0.010167,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,bottom,0.922432,0.022599,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,random_scattered,0.936063,0.008967,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,random_seed0,0.935385,0.009646,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,random_seed1,0.937055,0.007976,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,random_seed2,0.936626,0.008405,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,random_seed3,0.944295,0.000736,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,random_seed4,0.927429,0.017602,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,hot,0.929298,0.015733,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,bottom,0.950604,-0.005573,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,blur,random_mean,0.936158,0.008873,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,hot,0.921023,0.024008,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,bottom,0.9273,0.017731,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,random_scattered,0.935779,0.009251,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,random_seed0,0.858242,0.086789,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,random_seed1,0.934487,0.010544,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,random_seed2,0.917637,0.027394,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,random_seed3,0.942286,0.002745,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,random_seed4,0.941936,0.003095,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,hot,0.804168,0.140863,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,bottom,0.951059,-0.006028,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,blur,random_mean,0.918917,0.026113,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,hot,0.886748,0.058283,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,bottom,0.90517,0.039861,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,random_scattered,0.92984,0.015191,0.945031
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,random_seed0,0.927545,0.002412,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,random_seed1,0.929565,0.000393,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,random_seed2,0.929891,6.7e-05,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,random_seed3,0.927584,0.002374,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,random_seed4,0.926906,0.003052,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,hot,0.92761,0.002348,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,bottom,0.931435,-0.001477,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,blur,random_mean,0.928298,0.00166,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,hot,0.926401,0.003557,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,bottom,0.928683,0.001275,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,random_scattered,0.903192,0.026766,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,random_seed0,0.912924,0.017034,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,random_seed1,0.925541,0.004417,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,random_seed2,0.930976,-0.001018,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,random_seed3,0.932677,-0.002719,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,random_seed4,0.922057,0.007901,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,hot,0.81664,0.113318,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,bottom,0.93235,-0.002392,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,blur,random_mean,0.924835,0.005123,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,hot,0.786555,0.143403,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,bottom,0.92571,0.004248,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,random_scattered,0.910866,0.019092,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,random_seed0,0.906252,0.023706,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,random_seed1,0.896434,0.033524,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,random_seed2,0.901701,0.028257,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,random_seed3,0.922582,0.007376,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,random_seed4,0.741545,0.188413,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,hot,0.678895,0.251063,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,bottom,0.937617,-0.007659,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,blur,random_mean,0.873703,0.056255,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,hot,0.547409,0.382549,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,bottom,0.925964,0.003994,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,random_scattered,0.930775,-0.000817,0.929958
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,random_seed0,0.940954,0.001084,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,random_seed1,0.939697,0.00234,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,random_seed2,0.939758,0.00228,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,random_seed3,0.942045,-8e-06,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,random_seed4,0.94262,-0.000582,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,hot,0.941467,0.000571,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,bottom,0.942096,-5.9e-05,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,blur,random_mean,0.941015,0.001023,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,hot,0.942063,-2.5e-05,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,bottom,0.934278,0.00776,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,constant_fill_CONFOUNDED,random_scattered,0.884968,0.05707,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,random_seed0,0.935449,0.006589,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,random_seed1,0.926003,0.016034,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,random_seed2,0.931418,0.01062,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,random_seed3,0.936957,0.005081,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,random_seed4,0.940767,0.001271,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,hot,0.925074,0.016964,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,bottom,0.941934,0.000104,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,blur,random_mean,0.934119,0.007919,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,hot,0.930267,0.011771,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,bottom,0.932212,0.009825,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,constant_fill_CONFOUNDED,random_scattered,0.924153,0.017885,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,random_seed0,0.937079,0.004959,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,random_seed1,0.879802,0.062236,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,random_seed2,0.909714,0.032324,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,random_seed3,0.917599,0.024439,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,random_seed4,0.890788,0.05125,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,hot,0.864752,0.077285,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,bottom,0.944456,-0.002418,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,blur,random_mean,0.906996,0.035041,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,hot,0.755648,0.18639,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,bottom,0.942965,-0.000928,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,constant_fill_CONFOUNDED,random_scattered,0.900976,0.041062,0.942038
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.05,blur,random_seed0,0.907999,-0.0007,0.907299
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.05,blur,random_seed1,0.90755,-0.000251,0.907299
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.05,blur,random_seed2,0.907871,-0.000572,0.907299
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.05,blur,random_seed3,0.899503,0.007796,0.907299
