image_path,source,final_class,correct_fake,fake_confidence,layer1_manip_prob,layer2_fake_given_manip_prob,decisive_layer,decisive_class_idx,branch_contribution_status,full_prob_decisive_layer,spatial_only_prob_decisive_layer,freq_only_prob_decisive_layer,spatial_branch_contribution_proxy,fft_branch_contribution_proxy,l2_not_decisive_note
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,fake,True,0.824357,0.872307,0.945031,l2,0,AVAILABLE (zero-branch ablation),0.945031,0.83745,0.50178,0.443251,0.107581,
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,fake,True,0.551341,0.592867,0.929958,l2,0,AVAILABLE (zero-branch ablation),0.929958,0.834713,0.477983,0.451975,0.095245,
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,fake,True,0.815018,0.865165,0.942038,l2,0,AVAILABLE (zero-branch ablation),0.942038,0.867485,0.494411,0.447627,0.074552,
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,fake,True,0.530554,0.584762,0.907299,l2,0,AVAILABLE (zero-branch ablation),0.907299,0.803337,0.481538,0.425761,0.103962,
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,fake,True,0.720719,0.774635,0.930398,l2,0,AVAILABLE (zero-branch ablation),0.930398,0.842008,0.495097,0.435301,0.08839,
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,fake,True,0.82674,0.884815,0.934365,l2,0,AVAILABLE (zero-branch ablation),0.934365,0.819435,0.528547,0.405818,0.11493,
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,fake,True,0.827621,0.886617,0.93346,l2,0,AVAILABLE (zero-branch ablation),0.93346,0.842964,0.489608,0.443852,0.090497,
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,fake,True,0.717588,0.760054,0.944128,l2,0,AVAILABLE (zero-branch ablation),0.944128,0.83903,0.524403,0.419725,0.105098,
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,fake,True,0.702894,0.760125,0.924708,l2,0,AVAILABLE (zero-branch ablation),0.924708,0.844335,0.477245,0.447463,0.080373,
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,fake,True,0.78073,0.848988,0.9196,l2,0,AVAILABLE (zero-branch ablation),0.9196,0.837493,0.460779,0.458821,0.082107,
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,fake,True,0.807374,0.876522,0.921111,l2,0,AVAILABLE (zero-branch ablation),0.921111,0.833663,0.469073,0.452038,0.087448,
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,fake,True,0.850535,0.90139,0.943581,l2,0,AVAILABLE (zero-branch ablation),0.943581,0.835016,0.47551,0.468072,0.108566,
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,fake,True,0.782913,0.842685,0.92907,l2,0,AVAILABLE (zero-branch ablation),0.92907,0.818568,0.480646,0.448423,0.110502,
