image_path,source,k,curve,fake_score
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,hot_first,0.94083
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.05,bottom_first,0.926721
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,hot_first,0.942637
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.1,bottom_first,0.921654
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,hot_first,0.946033
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.2,bottom_first,0.90673
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.4,hot_first,0.944493
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.4,bottom_first,0.893063
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.6,hot_first,0.942385
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,0.6,bottom_first,0.81007
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,1.0,hot_first,0.944676
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,1.0,bottom_first,0.944676
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,hot_first,0.926877
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.05,bottom_first,0.857772
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,hot_first,0.930135
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.1,bottom_first,0.824681
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,hot_first,0.932667
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.2,bottom_first,0.792546
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.4,hot_first,0.934086
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.4,bottom_first,0.697203
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.6,hot_first,0.939572
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,0.6,bottom_first,0.60444
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,1.0,hot_first,0.929057
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,1.0,bottom_first,0.929057
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,hot_first,0.921308
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.05,bottom_first,0.917145
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,hot_first,0.914619
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.1,bottom_first,0.905324
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,hot_first,0.91691
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.2,bottom_first,0.89522
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.4,hot_first,0.929499
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.4,bottom_first,0.871099
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.6,hot_first,0.9401
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,0.6,bottom_first,0.850735
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,1.0,hot_first,0.941751
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,1.0,bottom_first,0.941751
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.05,hot_first,0.909015
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.05,bottom_first,0.872149
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.1,hot_first,0.917886
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.1,bottom_first,0.845184
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.2,hot_first,0.921162
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.2,bottom_first,0.815491
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.4,hot_first,0.921465
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.4,bottom_first,0.699484
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.6,hot_first,0.926798
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,0.6,bottom_first,0.559677
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,1.0,hot_first,0.907531
C:\My_Project\AIGC\AIGuard\unseen\fake_142.jpg,aiguard_unseen,1.0,bottom_first,0.907531
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.05,hot_first,0.888136
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.05,bottom_first,0.853133
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.1,hot_first,0.882881
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.1,bottom_first,0.857408
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.2,hot_first,0.900642
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.2,bottom_first,0.852275
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.4,hot_first,0.925991
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.4,bottom_first,0.82378
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.6,hot_first,0.937923
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,0.6,bottom_first,0.753391
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,1.0,hot_first,0.929477
C:\My_Project\AIGC\AIGuard\unseen\fake_143.jpg,aiguard_unseen,1.0,bottom_first,0.929477
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.05,hot_first,0.93149
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.05,bottom_first,0.923905
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.1,hot_first,0.933616
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.1,bottom_first,0.911715
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.2,hot_first,0.9395
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.2,bottom_first,0.891552
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.4,hot_first,0.946769
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.4,bottom_first,0.855717
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.6,hot_first,0.939995
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,0.6,bottom_first,0.814125
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,1.0,hot_first,0.934331
C:\My_Project\AIGC\AIGuard\unseen\fake_157.jpg,aiguard_unseen,1.0,bottom_first,0.934331
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.05,hot_first,0.93545
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.05,bottom_first,0.92904
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.1,hot_first,0.928099
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.1,bottom_first,0.919415
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.2,hot_first,0.929528
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.2,bottom_first,0.911136
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.4,hot_first,0.935321
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.4,bottom_first,0.859142
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.6,hot_first,0.935769
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,0.6,bottom_first,0.763976
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,1.0,hot_first,0.933376
C:\My_Project\AIGC\AIGuard\unseen\fake_158.jpg,aiguard_unseen,1.0,bottom_first,0.933376
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.05,hot_first,0.942153
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.05,bottom_first,0.926801
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.1,hot_first,0.935616
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.1,bottom_first,0.920687
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.2,hot_first,0.932809
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.2,bottom_first,0.912524
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.4,hot_first,0.934244
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.4,bottom_first,0.891267
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.6,hot_first,0.94169
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,0.6,bottom_first,0.885511
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,1.0,hot_first,0.944461
C:\My_Project\AIGC\AIGuard\unseen\fake_160.jpg,aiguard_unseen,1.0,bottom_first,0.944461
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.05,hot_first,0.919882
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.05,bottom_first,0.901084
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.1,hot_first,0.916291
