image_path,source,condition,condition_type,orig_fake_score,pert_fake_score,fake_score_delta,class_consistency,orig_peak_x,orig_peak_y,pert_peak_x,pert_peak_y,raw_peak_movement_px,expected_geometric_movement_px,face_bbox_found,face_rel_peak_movement,heatmap_overlap_iou_top20,spearman_rho
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,translate_+8_+8,translation,0.824357,0.06724,-0.757117,False,111.0,111.0,112.0,112.0,1.41,11.31,True,0.0932,0.8344,0.8979
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,translate_-8_-8,translation,0.824357,0.76725,-0.057107,True,111.0,111.0,111.0,80.0,31.0,11.31,True,0.2179,0.8151,0.9241
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,translate_+8_-8,translation,0.824357,0.750494,-0.073862,True,111.0,111.0,112.0,80.0,31.02,11.31,True,0.2159,0.8037,0.942
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,jpeg_q70,jpeg,0.824357,0.824574,0.000217,True,111.0,111.0,111.0,111.0,0.0,,True,0.0018,0.983,0.9953
C:\My_Project\AIGC\AIGuard\unseen\fake_120.jpg,aiguard_unseen,crop90,crop,0.824357,0.835648,0.011291,True,111.0,111.0,111.0,112.0,1.0,,True,0.0117,0.8913,0.9621
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,translate_+8_+8,translation,0.551341,0.027618,-0.523723,False,111.0,111.0,112.0,112.0,1.41,11.31,True,0.0984,0.8237,0.9299
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,translate_-8_-8,translation,0.551341,0.428544,-0.122797,False,111.0,111.0,143.0,112.0,32.02,11.31,True,0.4386,0.7106,0.944
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,translate_+8_-8,translation,0.551341,0.178878,-0.372463,False,111.0,111.0,112.0,80.0,31.02,11.31,True,0.2311,0.7646,0.942
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,jpeg_q70,jpeg,0.551341,0.083825,-0.467517,False,111.0,111.0,111.0,111.0,0.0,,True,0.0007,0.9669,0.9967
C:\My_Project\AIGC\AIGuard\unseen\fake_135.jpg,aiguard_unseen,crop90,crop,0.551341,0.027558,-0.523784,False,111.0,111.0,111.0,111.0,0.0,,True,0.0028,0.9278,0.9714
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,translate_+8_+8,translation,0.815018,0.197454,-0.617564,False,111.0,143.0,112.0,143.0,1.0,11.31,True,0.0932,0.6934,0.9274
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,translate_-8_-8,translation,0.815018,0.776441,-0.038577,True,111.0,143.0,111.0,143.0,0.0,11.31,True,0.0922,0.6736,0.9542
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,translate_+8_-8,translation,0.815018,0.735593,-0.079425,True,111.0,143.0,80.0,143.0,31.0,11.31,True,0.3669,0.7608,0.9486
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,jpeg_q70,jpeg,0.815018,0.820252,0.005233,True,111.0,143.0,111.0,143.0,0.0,,True,0.0014,0.9162,0.9956
C:\My_Project\AIGC\AIGuard\unseen\fake_141.jpg,aiguard_unseen,crop90,crop,0.815018,0.807108,-0.007911,True,111.0,143.0,80.0,80.0,70.21,,True,0.5244,0.6382,0.9305
