epoch,loss,acc,f1_macro,f1_fake,f1_filter
1,0.4181,0.9310,0.8625,0.7655,0.9595
2,0.3047,0.9595,0.9137,0.8509,0.9766
3,0.2844,0.9790,0.9521,0.9163,0.9880
4,0.2783,0.9859,0.9673,0.9426,0.9920
5,0.2704,0.9790,0.9524,0.9169,0.9880
6,0.2684,0.9860,0.9676,0.9431,0.9920
7,0.2636,0.9860,0.9676,0.9432,0.9920
8,0.2659,0.9881,0.9720,0.9509,0.9932
9,0.2495,0.9875,0.9709,0.9488,0.9929
10,0.2637,0.9915,0.9798,0.9645,0.9952
11,0.2578,0.9891,0.9744,0.9551,0.9938
12,0.2527,0.9890,0.9742,0.9547,0.9937
13,0.2580,0.9894,0.9752,0.9565,0.9940
14,0.2685,0.9900,0.9765,0.9587,0.9943
15,0.2554,0.9902,0.9770,0.9596,0.9944
