path	set	score	argmax
C:\My_Project\AIGC\lfw\Rebecca_Romijn-Stamos\Rebecca_Romijn-Stamos_0002.jpg	clean_real	0.030805	0
C:\My_Project\AIGC\lfw\Cathy_Freeman\Cathy_Freeman_0002.jpg	clean_real	0.052047	2
C:\My_Project\AIGC\lfw\Tim_Conway\Tim_Conway_0001.jpg	clean_real	0.032779	0
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0007.jpg	clean_real	0.035427	0
C:\My_Project\AIGC\lfw\Florencia_Kirchner\Florencia_Kirchner_0001.jpg	clean_real	0.038199	2
C:\My_Project\AIGC\lfw\Thomas_Bjorn\Thomas_Bjorn_0001.jpg	clean_real	0.050979	2
C:\My_Project\AIGC\lfw\Carlos_Menem\Carlos_Menem_0002.jpg	clean_real	0.027473	0
C:\My_Project\AIGC\lfw\Rosny_Desroches\Rosny_Desroches_0001.jpg	clean_real	0.042894	0
C:\My_Project\AIGC\lfw\Tiger_Woods\Tiger_Woods_0023.jpg	clean_real	0.047840	2
C:\My_Project\AIGC\lfw\Michael_Douglas\Michael_Douglas_0001.jpg	clean_real	0.034968	0
C:\My_Project\AIGC\lfw\Bob_Stoops\Bob_Stoops_0001.jpg	clean_real	0.213997	0
C:\My_Project\AIGC\lfw\Norah_Jones\Norah_Jones_0005.jpg	clean_real	0.045750	0
C:\My_Project\AIGC\lfw\Jong_Wook_Lee\Jong_Wook_Lee_0001.jpg	clean_real	0.050744	2
C:\My_Project\AIGC\lfw\Ana_Palacio\Ana_Palacio_0005.jpg	clean_real	0.032659	0
C:\My_Project\AIGC\lfw\Brian_StPierre\Brian_StPierre_0001.jpg	clean_real	0.034773	0
C:\My_Project\AIGC\lfw\Federico_Trillo\Federico_Trillo_0001.jpg	clean_real	0.033205	0
C:\My_Project\AIGC\lfw\Gary_Gitnick\Gary_Gitnick_0001.jpg	clean_real	0.046738	2
C:\My_Project\AIGC\lfw\Lyle_Vanclief\Lyle_Vanclief_0001.jpg	clean_real	0.050970	0
C:\My_Project\AIGC\lfw\Mikhail_Youzhny\Mikhail_Youzhny_0001.jpg	clean_real	0.047041	0
C:\My_Project\AIGC\lfw\Eduard_Limonov\Eduard_Limonov_0001.jpg	clean_real	0.045339	2
C:\My_Project\AIGC\lfw\Stephanie_Cohen_Aloro\Stephanie_Cohen_Aloro_0001.jpg	clean_real	0.037139	0
C:\My_Project\AIGC\lfw\Richard_Krajicek\Richard_Krajicek_0003.jpg	clean_real	0.039034	2
C:\My_Project\AIGC\lfw\Shamai_Leibowitz\Shamai_Leibowitz_0001.jpg	clean_real	0.023978	0
C:\My_Project\AIGC\lfw\Michael_Dell\Michael_Dell_0001.jpg	clean_real	0.055570	2
C:\My_Project\AIGC\lfw\Kate_Hudson\Kate_Hudson_0009.jpg	clean_real	0.035857	0
C:\My_Project\AIGC\lfw\Nizar_Trabelsi\Nizar_Trabelsi_0001.jpg	clean_real	0.048205	0
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0058.jpg	clean_real	0.050230	2
C:\My_Project\AIGC\lfw\Adrien_Brody\Adrien_Brody_0009.jpg	clean_real	0.042536	2
C:\My_Project\AIGC\lfw\Tony_Blair\Tony_Blair_0025.jpg	clean_real	0.042478	2
C:\My_Project\AIGC\lfw\Zhang_Ziyi\Zhang_Ziyi_0004.jpg	clean_real	0.044847	2
C:\My_Project\AIGC\lfw\Darryl_McDaniels\Darryl_McDaniels_0001.jpg	clean_real	0.031805	0
C:\My_Project\AIGC\lfw\Serena_Williams\Serena_Williams_0045.jpg	clean_real	0.025893	0
C:\My_Project\AIGC\lfw\Jon_Gruden\Jon_Gruden_0005.jpg	clean_real	0.041902	2
C:\My_Project\AIGC\lfw\Jack_Straw\Jack_Straw_0016.jpg	clean_real	0.049913	2
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0053.jpg	clean_real	0.053895	0
C:\My_Project\AIGC\lfw\Daniell_Sunjata\Daniell_Sunjata_0001.jpg	clean_real	0.044971	0
C:\My_Project\AIGC\lfw\Tony_Blair\Tony_Blair_0102.jpg	clean_real	0.049059	2
C:\My_Project\AIGC\lfw\Ismael_Miranda\Ismael_Miranda_0001.jpg	clean_real	0.045999	2
C:\My_Project\AIGC\lfw\Brian_Griese\Brian_Griese_0001.jpg	clean_real	0.026657	0
C:\My_Project\AIGC\lfw\Jeong_Se-hyun\Jeong_Se-hyun_0003.jpg	clean_real	0.034958	0
C:\My_Project\AIGC\lfw\Bruna_Colosio\Bruna_Colosio_0001.jpg	clean_real	0.027478	0
C:\My_Project\AIGC\lfw\Jason_Priestley\Jason_Priestley_0001.jpg	clean_real	0.041630	0
C:\My_Project\AIGC\lfw\Jacques_Chirac\Jacques_Chirac_0041.jpg	clean_real	0.035732	0
C:\My_Project\AIGC\lfw\Paul-Henri_Mathieu\Paul-Henri_Mathieu_0002.jpg	clean_real	0.049818	0
C:\My_Project\AIGC\lfw\George_W_Bush\George_W_Bush_0390.jpg	clean_real	0.039685	0
C:\My_Project\AIGC\lfw\Zoe_Ball\Zoe_Ball_0001.jpg	clean_real	0.044084	0
C:\My_Project\AIGC\lfw\Annette_Bening\Annette_Bening_0002.jpg	clean_real	0.046851	0
C:\My_Project\AIGC\lfw\Kimberly_Bruckner\Kimberly_Bruckner_0001.jpg	clean_real	0.048130	2
C:\My_Project\AIGC\lfw\MC_Hammer\MC_Hammer_0001.jpg	clean_real	0.042018	0
C:\My_Project\AIGC\lfw\Christopher_Walken\Christopher_Walken_0004.jpg	clean_real	0.048390	2
C:\My_Project\AIGC\lfw\Jennifer_Lopez\Jennifer_Lopez_0017.jpg	clean_real	0.038946	0
C:\My_Project\AIGC\lfw\Bill_Graham\Bill_Graham_0002.jpg	clean_real	0.036742	0
C:\My_Project\AIGC\lfw\Michelle_Branch\Michelle_Branch_0002.jpg	clean_real	0.053346	2
C:\My_Project\AIGC\lfw\Gray_Davis\Gray_Davis_0009.jpg	clean_real	0.039440	0
C:\My_Project\AIGC\lfw\Prince_Willem-Alexander\Prince_Willem-Alexander_0003.jpg	clean_real	0.040245	0
C:\My_Project\AIGC\lfw\Peter_Mansbridge\Peter_Mansbridge_0001.jpg	clean_real	0.044211	0
C:\My_Project\AIGC\lfw\Naoto_Kan\Naoto_Kan_0004.jpg	clean_real	0.051318	2
C:\My_Project\AIGC\lfw\Dora_Bakoyianni\Dora_Bakoyianni_0001.jpg	clean_real	0.043163	2
C:\My_Project\AIGC\lfw\Sheryl_Crow\Sheryl_Crow_0001.jpg	clean_real	0.045214	2
C:\My_Project\AIGC\lfw\Ben_Curtis\Ben_Curtis_0003.jpg	clean_real	0.040873	2
C:\My_Project\AIGC\lfw\Anthony_Hazen\Anthony_Hazen_0001.jpg	clean_real	0.028524	0
C:\My_Project\AIGC\lfw\Vadim_Strogalev\Vadim_Strogalev_0001.jpg	clean_real	0.051734	0
C:\My_Project\AIGC\lfw\Gonzalo_Sanchez_de_Lozada\Gonzalo_Sanchez_de_Lozada_0001.jpg	clean_real	0.046926	2
C:\My_Project\AIGC\lfw\Bill_Mauldin\Bill_Mauldin_0001.jpg	clean_real	0.054599	0
C:\My_Project\AIGC\lfw\Gary_Locke\Gary_Locke_0002.jpg	clean_real	0.043034	2
C:\My_Project\AIGC\lfw\Carla_Gugino\Carla_Gugino_0001.jpg	clean_real	0.044567	0
C:\My_Project\AIGC\lfw\Jeong_Se-hyun\Jeong_Se-hyun_0006.jpg	clean_real	0.030419	0
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0055.jpg	clean_real	0.023756	0
C:\My_Project\AIGC\lfw\Randall_Terry\Randall_Terry_0001.jpg	clean_real	0.048394	2
C:\My_Project\AIGC\lfw\David_Beckham\David_Beckham_0015.jpg	clean_real	0.036190	0
C:\My_Project\AIGC\lfw\Jeffrey_Ashby\Jeffrey_Ashby_0001.jpg	clean_real	0.054033	2
C:\My_Project\AIGC\lfw\Jane_Fonda\Jane_Fonda_0001.jpg	clean_real	0.028161	0
C:\My_Project\AIGC\lfw\Emma_Watson\Emma_Watson_0002.jpg	clean_real	0.034998	0
C:\My_Project\AIGC\lfw\George_W_Bush\George_W_Bush_0431.jpg	clean_real	0.029114	0
C:\My_Project\AIGC\lfw\Shane_Warne\Shane_Warne_0002.jpg	clean_real	0.037546	2
C:\My_Project\AIGC\lfw\Saddam_Hussein\Saddam_Hussein_0005.jpg	clean_real	0.045728	0
C:\My_Project\AIGC\lfw\Bernice_Wong\Bernice_Wong_0001.jpg	clean_real	0.046393	0
C:\My_Project\AIGC\lfw\Paul_Martin\Paul_Martin_0006.jpg	clean_real	0.041859	0
C:\My_Project\AIGC\lfw\Debbie_Reynolds\Debbie_Reynolds_0001.jpg	clean_real	0.030921	0
C:\My_Project\AIGC\lfw\Matt_Damon\Matt_Damon_0003.jpg	clean_real	0.029174	0
C:\My_Project\AIGC\lfw\Tamara_Mowry\Tamara_Mowry_0001.jpg	clean_real	0.062592	0
C:\My_Project\AIGC\lfw\David_Beckham\David_Beckham_0028.jpg	clean_real	0.033492	0
C:\My_Project\AIGC\lfw\Kim_Ryong-sung\Kim_Ryong-sung_0006.jpg	clean_real	0.046703	2
C:\My_Project\AIGC\lfw\Jennifer_Thompson\Jennifer_Thompson_0002.jpg	clean_real	0.037391	0
C:\My_Project\AIGC\lfw\Sam_Mendes\Sam_Mendes_0002.jpg	clean_real	0.051349	2
C:\My_Project\AIGC\lfw\Mike_Krzyzewski\Mike_Krzyzewski_0003.jpg	clean_real	0.028702	0
C:\My_Project\AIGC\lfw\Ferenc_Madl\Ferenc_Madl_0001.jpg	clean_real	0.045157	2
C:\My_Project\AIGC\lfw\Saddam_Hussein\Saddam_Hussein_0022.jpg	clean_real	0.107256	0
C:\My_Project\AIGC\lfw\Hugo_Chavez\Hugo_Chavez_0008.jpg	clean_real	0.041859	0
C:\My_Project\AIGC\lfw\Trent_Lott\Trent_Lott_0001.jpg	clean_real	0.050274	0
C:\My_Project\AIGC\lfw\Venus_Williams\Venus_Williams_0009.jpg	clean_real	0.046448	2
C:\My_Project\AIGC\lfw\Arnold_Palmer\Arnold_Palmer_0001.jpg	clean_real	0.044932	2
C:\My_Project\AIGC\lfw\Fred_Funk\Fred_Funk_0001.jpg	clean_real	0.038274	0
C:\My_Project\AIGC\lfw\Ana_Sebastiao\Ana_Sebastiao_0001.jpg	clean_real	0.041633	2
C:\My_Project\AIGC\lfw\Zarai_Toledo\Zarai_Toledo_0002.jpg	clean_real	0.025359	0
C:\My_Project\AIGC\lfw\Henry_Hyde\Henry_Hyde_0001.jpg	clean_real	0.042141	2
C:\My_Project\AIGC\lfw\John_Ashcroft\John_Ashcroft_0010.jpg	clean_real	0.046961	0
C:\My_Project\AIGC\lfw\George_W_Bush\George_W_Bush_0443.jpg	clean_real	0.043808	0
C:\My_Project\AIGC\lfw\Barry_Nakell\Barry_Nakell_0001.jpg	clean_real	0.054778	2
C:\My_Project\AIGC\lfw\Eric_Christian_Olsen\Eric_Christian_Olsen_0001.jpg	clean_real	0.054836	2
C:\My_Project\AIGC\lfw\Mohammed_Al-Douri\Mohammed_Al-Douri_0010.jpg	clean_real	0.051860	2
C:\My_Project\AIGC\lfw\Steven_Feldman\Steven_Feldman_0001.jpg	clean_real	0.038177	0
C:\My_Project\AIGC\lfw\Helen_Clark\Helen_Clark_0004.jpg	clean_real	0.038611	0
C:\My_Project\AIGC\lfw\Rick_Romley\Rick_Romley_0001.jpg	clean_real	0.047473	2
C:\My_Project\AIGC\lfw\Lucrecia_Orozco\Lucrecia_Orozco_0001.jpg	clean_real	0.067568	0
C:\My_Project\AIGC\lfw\Renee_Zellweger\Renee_Zellweger_0005.jpg	clean_real	0.037409	0
C:\My_Project\AIGC\lfw\Khatol_Mohammad_Zai\Khatol_Mohammad_Zai_0001.jpg	clean_real	0.059926	2
C:\My_Project\AIGC\lfw\Colin_Powell\Colin_Powell_0147.jpg	clean_real	0.040615	0
C:\My_Project\AIGC\lfw\George_W_Bush\George_W_Bush_0396.jpg	clean_real	0.054060	0
C:\My_Project\AIGC\lfw\Colin_Powell\Colin_Powell_0094.jpg	clean_real	0.031412	0
C:\My_Project\AIGC\lfw\George_W_Bush\George_W_Bush_0097.jpg	clean_real	0.039844	0
C:\My_Project\AIGC\lfw\Toby_Keith\Toby_Keith_0001.jpg	clean_real	0.040644	2
C:\My_Project\AIGC\lfw\Mikhail_Youzhny\Mikhail_Youzhny_0003.jpg	clean_real	0.051671	2
C:\My_Project\AIGC\lfw\Mekhi_Phifer\Mekhi_Phifer_0001.jpg	clean_real	0.039233	0
C:\My_Project\AIGC\lfw\George_W_Bush\George_W_Bush_0361.jpg	clean_real	0.041903	0
C:\My_Project\AIGC\lfw\Tommy_Haas\Tommy_Haas_0004.jpg	clean_real	0.031516	0
C:\My_Project\AIGC\lfw\Nicanor_Duarte_Frutos\Nicanor_Duarte_Frutos_0004.jpg	clean_real	0.053513	0
C:\My_Project\AIGC\lfw\Jose_Maria_Aznar\Jose_Maria_Aznar_0001.jpg	clean_real	0.045508	0
C:\My_Project\AIGC\lfw\Nestor_Kirchner\Nestor_Kirchner_0033.jpg	clean_real	0.051109	0
C:\My_Project\AIGC\lfw\John_Abizaid\John_Abizaid_0002.jpg	clean_real	0.046795	2
C:\My_Project\AIGC\lfw\Colin_Powell\Colin_Powell_0073.jpg	clean_real	0.025414	0
