path	set	score	argmax
C:\My_Project\AIGC\lfw\Rebecca_Romijn-Stamos\Rebecca_Romijn-Stamos_0002.jpg	clean_real	0.053532	0
C:\My_Project\AIGC\lfw\Cathy_Freeman\Cathy_Freeman_0002.jpg	clean_real	0.042814	2
C:\My_Project\AIGC\lfw\Tim_Conway\Tim_Conway_0001.jpg	clean_real	0.023134	0
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0007.jpg	clean_real	0.035574	0
C:\My_Project\AIGC\lfw\Florencia_Kirchner\Florencia_Kirchner_0001.jpg	clean_real	0.055770	2
C:\My_Project\AIGC\lfw\Thomas_Bjorn\Thomas_Bjorn_0001.jpg	clean_real	0.044395	2
C:\My_Project\AIGC\lfw\Carlos_Menem\Carlos_Menem_0002.jpg	clean_real	0.045360	2
C:\My_Project\AIGC\lfw\Rosny_Desroches\Rosny_Desroches_0001.jpg	clean_real	0.045639	2
C:\My_Project\AIGC\lfw\Tiger_Woods\Tiger_Woods_0023.jpg	clean_real	0.041123	2
C:\My_Project\AIGC\lfw\Michael_Douglas\Michael_Douglas_0001.jpg	clean_real	0.037520	0
C:\My_Project\AIGC\lfw\Bob_Stoops\Bob_Stoops_0001.jpg	clean_real	0.050471	0
C:\My_Project\AIGC\lfw\Norah_Jones\Norah_Jones_0005.jpg	clean_real	0.023099	0
C:\My_Project\AIGC\lfw\Jong_Wook_Lee\Jong_Wook_Lee_0001.jpg	clean_real	0.055253	2
C:\My_Project\AIGC\lfw\Ana_Palacio\Ana_Palacio_0005.jpg	clean_real	0.045884	0
C:\My_Project\AIGC\lfw\Brian_StPierre\Brian_StPierre_0001.jpg	clean_real	0.028568	0
C:\My_Project\AIGC\lfw\Federico_Trillo\Federico_Trillo_0001.jpg	clean_real	0.036153	0
C:\My_Project\AIGC\lfw\Gary_Gitnick\Gary_Gitnick_0001.jpg	clean_real	0.052095	2
C:\My_Project\AIGC\lfw\Lyle_Vanclief\Lyle_Vanclief_0001.jpg	clean_real	0.034896	0
C:\My_Project\AIGC\lfw\Mikhail_Youzhny\Mikhail_Youzhny_0001.jpg	clean_real	0.043719	0
C:\My_Project\AIGC\lfw\Eduard_Limonov\Eduard_Limonov_0001.jpg	clean_real	0.050784	2
