model,source,filter_type,resolution_condition,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,mean_filter_probability,median_filter_probability,calibration_threshold
CellC@0.85,DF40-cdf-DiT,whitening_medium,native,36,36,0.0,"[0.0000, 0.0000]",0.441358024691358,"[0.3094, 0.5749]",0.0,"[0.0000, 0.0000]",1.0,0.04085476254113014,0.0319634694606065,0.85
CellC@0.85,DF40-cdf-DiT,eye_enlarging,native,36,36,0.0,"[0.0000, 0.0000]",0.5324074074074074,"[0.3912, 0.6667]",0.0,"[0.0000, 0.0000]",1.0,0.055839243810623836,0.042846279218792846,0.85
CellC@0.85,DF40-cdf-DiT,smoothing_medium,native,36,36,0.0,"[0.0000, 0.0000]",0.8125,"[0.7037, 0.9082]",0.05555555555555555,"[0.0000, 0.1389]",1.0,0.19233420092819462,0.09888391196727744,0.85
CellC@0.85,DF40-cdf-DiT,face_reshaping,native,36,36,0.0,"[0.0000, 0.0000]",0.5848765432098766,"[0.4468, 0.7076]",0.0,"[0.0000, 0.0000]",1.0,0.07337423796868982,0.04554229415953155,0.85
CellC@0.85,DF40-cdf-DiT,whitening_medium,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.5270061728395062,"[0.3873, 0.6606]",0.0,"[0.0000, 0.0000]",1.0,0.056875134934671175,0.0396955162286758,0.85
CellC@0.85,DF40-cdf-DiT,eye_enlarging,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.5470679012345678,"[0.4074, 0.6821]",0.0,"[0.0000, 0.0000]",1.0,0.05779711867216971,0.040879065170884105,0.85
CellC@0.85,DF40-cdf-DiT,smoothing_medium,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.7924382716049382,"[0.6782, 0.8866]",0.05555555555555555,"[0.0000, 0.1389]",1.0,0.19036220231403903,0.08780656009912491,0.85
CellC@0.85,DF40-cdf-DiT,face_reshaping,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.6018518518518517,"[0.4715, 0.7246]",0.0,"[0.0000, 0.0000]",1.0,0.0816979829040873,0.05033109895884985,0.85
CellC@0.85,DF40-cdf-DiT,whitening_medium,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.4220679012345679,"[0.2932, 0.5625]",0.0,"[0.0000, 0.0000]",1.0,0.020968148801734417,0.013885243795812099,0.85
CellC@0.85,DF40-cdf-DiT,eye_enlarging,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.5362654320987654,"[0.4004, 0.6667]",0.0,"[0.0000, 0.0000]",1.0,0.03189296766908628,0.0184170827269554,0.85
CellC@0.85,DF40-cdf-DiT,smoothing_medium,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.26929012345679015,"[0.1497, 0.3928]",0.0,"[0.0000, 0.0000]",1.0,0.021527566345563735,0.0072936192154884,0.85
CellC@0.85,DF40-cdf-DiT,face_reshaping,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.5470679012345679,"[0.4151, 0.6822]",0.0,"[0.0000, 0.0000]",1.0,0.031579756371987316,0.0198920145630836,0.85
CellC@0.85,DF40-cdf-DiT,whitening_medium,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.3966049382716049,"[0.2662, 0.5232]",0.0,"[0.0000, 0.0000]",1.0,0.02031437008796877,0.01146176178008315,0.85
CellC@0.85,DF40-cdf-DiT,eye_enlarging,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.5385802469135802,"[0.4012, 0.6675]",0.0,"[0.0000, 0.0000]",1.0,0.03414062436463099,0.02067941706627605,0.85
CellC@0.85,DF40-cdf-DiT,smoothing_medium,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.18055555555555558,"[0.0926, 0.2832]",0.0,"[0.0000, 0.0000]",1.0,0.010278432636469971,0.006448813015595,0.85
CellC@0.85,DF40-cdf-DiT,face_reshaping,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.5054012345679012,"[0.3719, 0.6427]",0.0,"[0.0000, 0.0000]",1.0,0.02747329435725175,0.016942208632826798,0.85
CellC@0.85,DF40-cdf-SiT,whitening_medium,native,42,42,0.0,"[0.0000, 0.0000]",0.4563492063492064,"[0.3362, 0.5782]",0.0,"[0.0000, 0.0000]",1.0,0.04426559795891596,0.03650636225938795,0.85
CellC@0.85,DF40-cdf-SiT,eye_enlarging,native,42,42,0.0,"[0.0000, 0.0000]",0.5901360544217686,"[0.4575, 0.7075]",0.0,"[0.0000, 0.0000]",1.0,0.07060844515494644,0.04480801522731775,0.85
CellC@0.85,DF40-cdf-SiT,smoothing_medium,native,42,42,0.0,"[0.0000, 0.0000]",0.7721088435374149,"[0.6616, 0.8679]",0.047619047619047616,"[0.0000, 0.1190]",1.0,0.21819156441571458,0.1012361645698547,0.85
CellC@0.85,DF40-cdf-SiT,face_reshaping,native,42,42,0.0,"[0.0000, 0.0000]",0.5748299319727892,"[0.4518, 0.6859]",0.0,"[0.0000, 0.0000]",1.0,0.07770330600795287,0.0471947975456714,0.85
CellC@0.85,DF40-cdf-SiT,whitening_medium,canonical_256,42,42,0.0,"[0.0000, 0.0000]",0.4954648526077098,"[0.3668, 0.6282]",0.0,"[0.0000, 0.0000]",1.0,0.05268395807416662,0.0350786466151475,0.85
CellC@0.85,DF40-cdf-SiT,eye_enlarging,canonical_256,42,42,0.0,"[0.0000, 0.0000]",0.5487528344671202,"[0.4183, 0.6729]",0.0,"[0.0000, 0.0000]",1.0,0.06693648678871489,0.041851969435811,0.85
