model,source,filter_type,n_failures,n_total_composites,failure_mode,count,pct_of_failures,pct_of_all_composites
CellC@0.85,DF40-cdf-DiT,eye_enlarging,36,36,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,eye_enlarging,36,36,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,eye_enlarging,36,36,filter_head_miss,36,100.0,100.0
CellC@0.85,DF40-cdf-DiT,eye_enlarging,36,36,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,eye_enlarging,36,36,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,face_reshaping,36,36,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,face_reshaping,36,36,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,face_reshaping,36,36,filter_head_miss,36,100.0,100.0
CellC@0.85,DF40-cdf-DiT,face_reshaping,36,36,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,face_reshaping,36,36,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,smoothing_medium,34,36,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,smoothing_medium,34,36,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,smoothing_medium,34,36,filter_head_miss,32,94.11764705882352,88.88888888888889
CellC@0.85,DF40-cdf-DiT,smoothing_medium,34,36,threshold_calibration_miss,2,5.88235294117647,5.555555555555555
CellC@0.85,DF40-cdf-DiT,smoothing_medium,34,36,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,whitening_medium,36,36,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,whitening_medium,36,36,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,whitening_medium,36,36,filter_head_miss,36,100.0,100.0
CellC@0.85,DF40-cdf-DiT,whitening_medium,36,36,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-DiT,whitening_medium,36,36,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,eye_enlarging,42,42,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,eye_enlarging,42,42,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,eye_enlarging,42,42,filter_head_miss,42,100.0,100.0
CellC@0.85,DF40-cdf-SiT,eye_enlarging,42,42,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,eye_enlarging,42,42,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,face_reshaping,42,42,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,face_reshaping,42,42,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,face_reshaping,42,42,filter_head_miss,42,100.0,100.0
CellC@0.85,DF40-cdf-SiT,face_reshaping,42,42,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,face_reshaping,42,42,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,smoothing_medium,40,42,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,smoothing_medium,40,42,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,smoothing_medium,40,42,filter_head_miss,35,87.5,83.33333333333334
CellC@0.85,DF40-cdf-SiT,smoothing_medium,40,42,threshold_calibration_miss,5,12.5,11.904761904761903
CellC@0.85,DF40-cdf-SiT,smoothing_medium,40,42,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,whitening_medium,42,42,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,whitening_medium,42,42,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,whitening_medium,42,42,filter_head_miss,42,100.0,100.0
CellC@0.85,DF40-cdf-SiT,whitening_medium,42,42,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-SiT,whitening_medium,42,42,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,eye_enlarging,40,40,layer1_real,1,2.5,2.5
CellC@0.85,DF40-cdf-ddim,eye_enlarging,40,40,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,eye_enlarging,40,40,filter_head_miss,32,80.0,80.0
CellC@0.85,DF40-cdf-ddim,eye_enlarging,40,40,threshold_calibration_miss,7,17.5,17.5
CellC@0.85,DF40-cdf-ddim,eye_enlarging,40,40,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,face_reshaping,40,40,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,face_reshaping,40,40,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,face_reshaping,40,40,filter_head_miss,35,87.5,87.5
CellC@0.85,DF40-cdf-ddim,face_reshaping,40,40,threshold_calibration_miss,5,12.5,12.5
CellC@0.85,DF40-cdf-ddim,face_reshaping,40,40,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,smoothing_medium,28,40,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,smoothing_medium,28,40,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,smoothing_medium,28,40,filter_head_miss,13,46.42857142857143,32.5
CellC@0.85,DF40-cdf-ddim,smoothing_medium,28,40,threshold_calibration_miss,15,53.57142857142857,37.5
CellC@0.85,DF40-cdf-ddim,smoothing_medium,28,40,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,layer1_real,1,2.5,2.5
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,filter_head_miss,38,95.0,95.0
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,threshold_calibration_miss,1,2.5,2.5
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,filter_head_miss,43,100.0,100.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,filter_head_miss,43,100.0,100.0
