model,source,filter_type,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,has_filter_recall,mean_filter_probability,median_filter_probability,calibration_threshold
CellC@0.85,DF40-cdf-DiT,eye_enlarging,36,36,0.0,"[0.0000, 0.0000]",0.5324074074074074,"[0.3997, 0.6636]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.055839243810623836,0.042846279218792846,0.85
CellC@0.85,DF40-cdf-DiT,face_reshaping,36,36,0.0,"[0.0000, 0.0000]",0.5848765432098766,"[0.4467, 0.7168]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.07337423796868982,0.04554229415953155,0.85
CellC@0.85,DF40-cdf-DiT,smoothing_medium,36,36,0.0,"[0.0000, 0.0000]",0.8125,"[0.7037, 0.9082]",0.05555555555555555,"[0.0000, 0.1389]",1.0,0.05555555555555555,0.19233420092819462,0.09888391196727744,0.85
CellC@0.85,DF40-cdf-DiT,whitening_medium,36,36,0.0,"[0.0000, 0.0000]",0.441358024691358,"[0.3079, 0.5787]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.04085476254113014,0.0319634694606065,0.85
CellC@0.85,DF40-cdf-SiT,eye_enlarging,42,42,0.0,"[0.0000, 0.0000]",0.5901360544217686,"[0.4717, 0.7086]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.07060844515494644,0.04480801522731775,0.85
CellC@0.85,DF40-cdf-SiT,face_reshaping,42,42,0.0,"[0.0000, 0.0000]",0.5748299319727892,"[0.4535, 0.6950]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.07770330600795287,0.0471947975456714,0.85
CellC@0.85,DF40-cdf-SiT,smoothing_medium,42,42,0.0,"[0.0000, 0.0000]",0.7721088435374149,"[0.6644, 0.8645]",0.047619047619047616,"[0.0000, 0.1190]",1.0,0.047619047619047616,0.21819156441571458,0.1012361645698547,0.85
CellC@0.85,DF40-cdf-SiT,whitening_medium,42,42,0.0,"[0.0000, 0.0000]",0.4563492063492064,"[0.3339, 0.5816]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.04426559795891596,0.03650636225938795,0.85
CellC@0.85,DF40-cdf-ddim,eye_enlarging,40,40,0.0,"[0.0000, 0.0000]",0.705,"[0.5913, 0.8100]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3065931098535657,0.25439203530550003,0.85
CellC@0.85,DF40-cdf-ddim,face_reshaping,40,40,0.0,"[0.0000, 0.0000]",0.626875,"[0.5037, 0.7475]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.27472058925777676,0.22900962829589838,0.85
CellC@0.85,DF40-cdf-ddim,smoothing_medium,40,40,0.0,"[0.0000, 0.0000]",0.9125,"[0.8438, 0.9650]",0.3,"[0.1750, 0.4500]",1.0,0.3,0.6415077567100524,0.7323940098285675,0.85
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,0.0,"[0.0000, 0.0000]",0.38812500000000005,"[0.2656, 0.5231]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.14530649103689935,0.0950392410159111,0.85
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,0.0,"[0.0000, 0.0000]",0.550027041644132,"[0.4278, 0.6766]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.01565063027340134,0.005352041684091,0.85
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,0.0,"[0.0000, 0.0000]",0.502974580854516,"[0.3764, 0.6220]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.011950512430197414,0.0047550192102789,0.85
