path,gt,gt_name,pred,pred_name,p_real,p_fake,p_filter,correct
C:\My_Project\AIGC\lfw\Rebecca_Romijn-Stamos\Rebecca_Romijn-Stamos_0002.jpg,0,real,0,real,0.8603963255882263,0.052366819232702255,0.08723682910203934,1
C:\My_Project\AIGC\lfw\Cathy_Freeman\Cathy_Freeman_0002.jpg,0,real,0,real,0.7454864978790283,0.06892360001802444,0.18558983504772186,1
C:\My_Project\AIGC\lfw\Tim_Conway\Tim_Conway_0001.jpg,0,real,0,real,0.8919726610183716,0.044781602919101715,0.06324569880962372,1
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0007.jpg,0,real,0,real,0.8912705183029175,0.0484413206577301,0.060288120061159134,1
C:\My_Project\AIGC\lfw\Florencia_Kirchner\Florencia_Kirchner_0001.jpg,0,real,0,real,0.8411888480186462,0.06009034439921379,0.09872081130743027,1
C:\My_Project\AIGC\lfw\Thomas_Bjorn\Thomas_Bjorn_0001.jpg,0,real,0,real,0.8460549712181091,0.05341174453496933,0.10053330659866333,1
C:\My_Project\AIGC\lfw\Carlos_Menem\Carlos_Menem_0002.jpg,0,real,0,real,0.8184989094734192,0.05901743471622467,0.12248362600803375,1
C:\My_Project\AIGC\lfw\Rosny_Desroches\Rosny_Desroches_0001.jpg,0,real,0,real,0.9001522660255432,0.04330017790198326,0.05654751509428024,1
C:\My_Project\AIGC\lfw\Tiger_Woods\Tiger_Woods_0023.jpg,0,real,0,real,0.5150586366653442,0.07679835706949234,0.40814295411109924,1
C:\My_Project\AIGC\lfw\Michael_Douglas\Michael_Douglas_0001.jpg,0,real,0,real,0.8650239706039429,0.05116292089223862,0.08381309360265732,1
C:\My_Project\AIGC\lfw\Bob_Stoops\Bob_Stoops_0001.jpg,0,real,0,real,0.8779976963996887,0.04825231060385704,0.07374990731477737,1
C:\My_Project\AIGC\lfw\Norah_Jones\Norah_Jones_0005.jpg,0,real,0,real,0.8861701488494873,0.05053394287824631,0.06329594552516937,1
C:\My_Project\AIGC\lfw\Jong_Wook_Lee\Jong_Wook_Lee_0001.jpg,0,real,2,filter,0.19090303778648376,0.10080817341804504,0.708288848400116,0
C:\My_Project\AIGC\lfw\Ana_Palacio\Ana_Palacio_0005.jpg,0,real,0,real,0.9006636142730713,0.051457371562719345,0.047878995537757874,1
C:\My_Project\AIGC\lfw\Brian_StPierre\Brian_StPierre_0001.jpg,0,real,0,real,0.9264707565307617,0.03908884897828102,0.03444039449095726,1
C:\My_Project\AIGC\lfw\Federico_Trillo\Federico_Trillo_0001.jpg,0,real,0,real,0.8866667747497559,0.0509190633893013,0.06241420656442642,1
C:\My_Project\AIGC\lfw\Gary_Gitnick\Gary_Gitnick_0001.jpg,0,real,0,real,0.8794932961463928,0.05109069123864174,0.06941603869199753,1
C:\My_Project\AIGC\lfw\Lyle_Vanclief\Lyle_Vanclief_0001.jpg,0,real,0,real,0.8153939247131348,0.054801736027002335,0.12980438768863678,1
C:\My_Project\AIGC\lfw\Mikhail_Youzhny\Mikhail_Youzhny_0001.jpg,0,real,0,real,0.8755042552947998,0.04738229513168335,0.07711343467235565,1
C:\My_Project\AIGC\lfw\Eduard_Limonov\Eduard_Limonov_0001.jpg,0,real,0,real,0.8734233975410461,0.05736956372857094,0.0692070722579956,1
C:\My_Project\AIGC\lfw\Stephanie_Cohen_Aloro\Stephanie_Cohen_Aloro_0001.jpg,0,real,0,real,0.8519660830497742,0.05624563619494438,0.09178833663463593,1
C:\My_Project\AIGC\lfw\Richard_Krajicek\Richard_Krajicek_0003.jpg,0,real,0,real,0.9211181998252869,0.039363421499729156,0.03951834887266159,1
C:\My_Project\AIGC\lfw\Shamai_Leibowitz\Shamai_Leibowitz_0001.jpg,0,real,0,real,0.8541746139526367,0.06908222287893295,0.07674312591552734,1
C:\My_Project\AIGC\lfw\Michael_Dell\Michael_Dell_0001.jpg,0,real,0,real,0.8005234003067017,0.059803206473588943,0.1396734118461609,1
C:\My_Project\AIGC\lfw\Kate_Hudson\Kate_Hudson_0009.jpg,0,real,0,real,0.8417560458183289,0.05668222904205322,0.1015617623925209,1
C:\My_Project\AIGC\lfw\Nizar_Trabelsi\Nizar_Trabelsi_0001.jpg,0,real,0,real,0.9349364638328552,0.035266268998384476,0.029797310009598732,1
