path	label	source
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_90\19000\19579.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_60\17000\17937.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_30\19000\19575.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_60\19000\19148.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_60\18000\18231.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_30\17000\17324.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_30\19000\19359.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_60\17000\17693.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_90\17000\17961.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_30\19000\19939.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_90\18000\18035.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_30\19000\19154.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_90\17000\17099.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_60\18000\18804.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_90\17000\17676.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_30\18000\18478.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_30\19000\19081.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_90\17000\17323.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_90\18000\18498.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_60\19000\19267.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_90\19000\19288.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_90\19000\19974.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_60\18000\18946.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\FaceLifting_60\17000\17669.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_60\18000\18782.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Whitening_90\17000\17274.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\FaceLifting_90\17000\17361.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\EyeEnlarging_60\17000\17810.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\Smoothing_90\18000\18192.png	2	FFHQ_ali
C:\My_Project\AIGC\FFHQ_ali_process\FaceLifting_60\19000\19895.png	2	FFHQ_ali
