path	label	source
C:\My_Project\AIGC\AIGuard\fake\0\fake_5601_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_7642_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48906_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_26011_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_696_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_5708_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_35114_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_23518_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_28307_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_9319_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_14890_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_36346_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_25153_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_23923_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_9470_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_7060_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15769_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_18995_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_9586_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_27311_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_7849_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_27989_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48568_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_9578_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_14272_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_46750_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_18449_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15394_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_23985_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_7669_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19587_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_23639_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48323_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_28589_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15169_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_24766_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_7120_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19294_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_4192_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_4924_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_26104_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_27187_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_36269_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_14345_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_46594_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_28329_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_8996_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_47_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19917_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_34839_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48310_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_23528_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48465_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_9583_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15521_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_6948_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15424_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48409_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_45600_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15714_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_17073_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_38012_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_14737_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_47403_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_5196_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_18276_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_985_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_18954_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_17026_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_9110_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_6341_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15576_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_26777_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19650_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_18003_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19557_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_15728_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_7706_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_33177_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_16693_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_27743_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_38355_1.jpg	1	AIGuard-fake
