path	label	source
C:\My_Project\AIGC\AIGuard\fake\0\fake_4641_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_24678_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\2\real_29996_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\1\real_17494_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\2\fake_27375_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\2\real_28352_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\0\real_6559.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_24450_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_24745_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\2\fake_23550_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_48612_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19973_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\4\real_47491.jpg	0	AIGuard-real
C:\My_Project\AIGC\MidJourney\fake\13592447708_Clean_caucasian_female_face_face_only_shown_face_cl_e0de701f-c3ec-4777-8771-9c2a11989c66.png	1	DF40-diffusion
C:\My_Project\AIGC\AIGuard\fake\0\fake_6960_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\sd2.1\ff\440\091_329.png	1	DF40-diffusion
C:\My_Project\AIGC\AIGuard\fake\1\fake_14117_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\0\real_4847.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\0\real_6287.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\4\real_43804_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\3\real_34385_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\4\real_44604_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\2\fake_24666_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_18981_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\0\real_7421.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\0\real_6720.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\4\real_49571.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\0\real_4076_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\4\real_47815.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\4\real_47695.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_27980_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\2\fake_27968_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\1\real_18843_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\1\fake_16164_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_14650_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\MidJourney\fake\13592447708_Single_person_black_male_looking_at_the_camera_faci_bd992510-3fd1-469d-b139-f453bd660212.png	1	DF40-diffusion
C:\My_Project\AIGC\AIGuard\fake\3\fake_35921_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\3\real_35640_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_28078_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\1\real_15566_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\0\real_424_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\lfw\Hosni_Mubarak\Hosni_Mubarak_0002.jpg	0	LFW-real
C:\My_Project\AIGC\AIGuard\real\3\real_38508_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_27994_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\2\fake_25662_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_19091_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\0\real_6343.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\2\fake_28109_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\3\real_37903_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_28072_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\0\fake_4898_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_994_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\4\real_45637_1.jpg	0	AIGuard-real
