path	label	source
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s125\lfw_eye_Skip_Prosser_0001_s125.jpg	2	lfw_eye_s125
C:\My_Project\AIGC\FFHQ_megvii_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\63000\1_63738.png	2	FFHQ_megvii
C:\My_Project\AIGC\filter_data\smoothing\real_15506_1_smoothing.jpg	2	filter_data
C:\My_Project\AIGC\filter_data\lfw_whitening\lfw_white_Ricardo_Lagos_0010.jpg	2	
C:\My_Project\AIGC\filter_data\face_reshaping\real_47468_face_reshaping.jpg	2	filter_data
C:\My_Project\AIGC\filter_data\lfw_face_reshaping\lfw_reshape_Don_Matthews_0001.jpg	2	
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s125\lfw_eye_Trevor_McDonald_0001_s125.jpg	2	lfw_eye_s125
C:\My_Project\AIGC\v810b_filter_imdbwiki_expanded\face_reshaping_nm0175931_nm0175931_rm2185026816_1963-5-25_2012.jpg	2	IMDB-WIKI-expanded-filter-dose600
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s135\lfw_eye_Strom_Thurmond_0002_s135.jpg	2	lfw_eye_s135
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\67000\67708.png	2	FFHQ_four
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging\lfw_eye_Alfred_Ford_0001.jpg	2	
C:\My_Project\AIGC\filter_data\face_reshaping\real_26734_1_face_reshaping.jpg	2	filter_data
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\68000\68413.png	2	FFHQ_four
C:\My_Project\AIGC\test_set_true\lfw_filter_train\smoothing_Odai_Hussein_0001.jpg	2	LFW-filter
C:\My_Project\AIGC\filter_data\smoothing\real_27924_1_smoothing.jpg	2	filter_data
C:\My_Project\AIGC\filter_data\smoothing\real_7438_smoothing.jpg	2	filter_data
C:\My_Project\AIGC\filter_data\lfw_face_reshaping\lfw_reshape_John_Starks_0001.jpg	2	
C:\My_Project\AIGC\filter_data\eye_enlarging\real_14275_1_eye_enlarging.jpg	2	filter_data
C:\My_Project\AIGC\filter_data\whitening\real_18531_1_whitening.jpg	2	filter_data
C:\My_Project\AIGC\v89_filter_imdbwiki\face_reshaping_nm0750468_nm0750468_rm1097832960_1951-2-24_2007.jpg	2	IMDB-WIKI-filter
C:\My_Project\AIGC\filter_data\whitening\real_29067_1_whitening.jpg	2	filter_data
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\61000\61582.png	2	FFHQ_four
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s110\lfw_eye_John_Swofford_0003_s110.jpg	2	lfw_eye_s110
C:\My_Project\AIGC\filter_data\smoothing\real_3993_1_smoothing.jpg	2	filter_data
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging\lfw_eye_Ruano_Pascual_0001.jpg	2	
C:\My_Project\AIGC\FFHQ_megvii_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\69000\1_69474.png	2	FFHQ_megvii
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\61000\61519.png	2	FFHQ_four
C:\My_Project\AIGC\filter_data\smoothing\real_16536_1_smoothing.jpg	2	filter_data
C:\My_Project\AIGC\FFHQ_megvii_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\67000\67802.png	2	FFHQ_megvii
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s135\lfw_eye_Paul_Hogan_0001_s135.jpg	2	lfw_eye_s135
