path	label	source
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s125\lfw_eye_George_W_Bush_0209_s125.jpg	1	lfw_eye_s125
C:\My_Project\AIGC\DiT\ff\675\826.png	0	DF40-DiT
C:\My_Project\AIGC\v89d_proxy_unseen_pool\whitening_light_DiT_15404.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id23_0007\Celeb-real_id36_0005_461.png	0	DF40-pixart
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id41_0004\2908.png	0	DF40-DiT
C:\My_Project\AIGC\filter_data\lfw_whitening\lfw_white_Tom_Craddick_0004.jpg	1	
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00092\2470.png	0	DF40-DiT
C:\My_Project\AIGC\filter_data\eye_enlarging\real_36959_1_eye_enlarging.jpg	1	filter_data
C:\My_Project\AIGC\v89d_proxy_unseen_pool\face_reshaping_medium_ddim_Celeb-real_id56_0000_362.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\filter_data\eye_enlarging\real_38861_1_eye_enlarging.jpg	1	filter_data
C:\My_Project\AIGC\fake_filter_hard_neg\smoothing\fake_24047_1_smoothing.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\fake\3\fake_35241_1.jpg	0	AIGuard-fake
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\64000\64939.png	1	FFHQ_four
C:\My_Project\AIGC\v89d_proxy_unseen_pool\whitening_heavy_SiT_2171.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\fake_filter_hard_neg\whitening\fake_8148_1_whitening.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\fake\1\fake_15928_1.jpg	0	AIGuard-fake
C:\My_Project\AIGC\SiT\cdf\Fake_from_Celeb-real\id29_0001\5022.png	0	DF40-SiT
C:\My_Project\AIGC\v89d_candidate_pool\face_reshaping_heavy_fake_33088_1.jpg	0	v811-round2-mined
C:\My_Project\AIGC\AIGuard\fake\1\fake_18120_1.jpg	0	AIGuard-fake
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\fake_6853_1_eye_enlarging.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\FFHQ_megvii_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\62000\62435.png	1	FFHQ_megvii
C:\My_Project\AIGC\v89d_proxy_unseen_pool\face_reshaping_medium_SiT_13723.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\filter_data\lfw_eye_enlarging_s110\lfw_eye_Melissa_Mulloy_0001_s110.jpg	1	lfw_eye_s110
C:\My_Project\AIGC\filter_data\whitening\real_23823_1_whitening.jpg	1	filter_data
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\019277_fake_45875_1_eye_enlarging.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\v89d_candidate_pool\eye_enlarging_heavy_fake_33759_1.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\filter_data\face_reshaping\real_19769_1_face_reshaping.jpg	1	filter_data
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00043\3371.png	0	DF40-DiT
C:\My_Project\AIGC\fake_filter_hard_neg\face_reshaping\fake_44010_1_face_reshaping.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\006130_fake_14199_1_eye_enlarging.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\fake\2\fake_25952_1.jpg	0	AIGuard-fake
C:\My_Project\AIGC\filter_data\smoothing\real_7325_smoothing.jpg	1	filter_data
C:\My_Project\AIGC\v89d_candidate_pool\whitening_medium_fake_38554_1.jpg	0	v811-round2-mined
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\fake_39733_1_eye_enlarging.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00100\15017.png	0	DF40-DiT
C:\My_Project\AIGC\v89d_proxy_unseen_pool\eye_enlarging_light_SiT_13349.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\filter_data\lfw_face_reshaping\lfw_reshape_Jennifer_Keller_0002.jpg	1	
C:\My_Project\AIGC\v89d_proxy_unseen_pool\eye_enlarging_medium_SiT_26489.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\filter_data\whitening\real_8475_whitening.jpg	1	filter_data
C:\My_Project\AIGC\filter_data\smoothing\real_38338_1_smoothing.jpg	1	filter_data
C:\My_Project\AIGC\filter_data\smoothing\real_802_smoothing.jpg	1	filter_data
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id57_0009\Celeb-real_id25_0002_241.png	0	DF40-pixart
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\66000\66815.png	1	FFHQ_four
C:\My_Project\AIGC\AIGuard\fake\1\fake_18212_1.jpg	0	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\0\fake_4747_1.jpg	0	AIGuard-fake
C:\My_Project\AIGC\FFHQ_megvii_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\64000\64623.png	1	FFHQ_megvii
C:\My_Project\AIGC\v89d_candidate_pool\whitening_light_fake_46811.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\v89d_candidate_pool\face_reshaping_medium_000560_fake_29099_1.jpg	0	v811-round2-mined
C:\My_Project\AIGC\fake_filter_hard_neg\face_reshaping\006093_fake_14153_1_face_reshaping.jpg	0	fake_filter_hardneg
C:\My_Project\AIGC\filter_data\smoothing\real_38178_1_smoothing.jpg	1	filter_data
C:\My_Project\AIGC\FFHQ_megvii_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\62000\62892.png	1	FFHQ_megvii
C:\My_Project\AIGC\FFHQ_four_process\Whitening_Smoothing_FaceLifting_EyeEnlarging\69000\69034.png	1	FFHQ_four
C:\My_Project\AIGC\filter_data\whitening\real_26257_1_whitening.jpg	1	filter_data
C:\My_Project\AIGC\v89d_proxy_unseen_pool\whitening_medium_DiT_26326.jpg	0	v89d-mined-hardneg
C:\My_Project\AIGC\filter_data\eye_enlarging\real_29968_1_eye_enlarging.jpg	1	filter_data
C:\My_Project\AIGC\sd2.1\cdf\Celeb-real\id24_0006\Celeb-real_id39_0001_131.png	0	DF40-sd2.1
