path	label	source
C:\My_Project\AIGC\AIGuard\fake\4\fake_47686_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_37614_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\celeba_train\072936.jpg	0	CelebA-train
C:\My_Project\AIGC\AIGuard\real\2\real_26782_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\fake_filter_hard_neg\smoothing\013805_fake_26727_1_smoothing.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\real\2\real_26622_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\2\real_28099_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\fake_filter_hard_neg\whitening\fake_9144_1_whitening.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\real\0\real_6401.jpg	0	AIGuard-real
C:\My_Project\AIGC\celeba_train\082387.jpg	0	CelebA-train
C:\My_Project\AIGC\celeba_train\020607.jpg	0	CelebA-train
C:\My_Project\AIGC\fake_filter_hard_neg\whitening\017840_fake_38704_1_whitening.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\celeba_train\040639.jpg	0	CelebA-train
C:\My_Project\AIGC\AIGuard\real\0\real_6034.jpg	0	AIGuard-real
C:\My_Project\AIGC\SiT\ff\494\19351.png	1	DF40-SiT
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id55_0002\13529.png	1	DF40-DiT
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\fake_24321_1_eye_enlarging.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\real\0\real_4398_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\fake_8268_1_eye_enlarging.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\sd2.1\ff\008\164_625.png	1	DF40-sd2.1
C:\My_Project\AIGC\celeba_train\046521.jpg	0	CelebA-train
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\010406_fake_19234_1_eye_enlarging.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\celeba_train\016518.jpg	0	CelebA-train
C:\My_Project\AIGC\fake_filter_hard_neg\whitening\fake_28065_1_whitening.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\sd2.1\cdf\YouTube-real\00231\Celeb-real_id3_0008_368.png	1	DF40-sd2.1
C:\My_Project\AIGC\sd2.1\ff\596\012_140.png	1	DF40-sd2.1
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id4_0007\Celeb-real_id22_0005_070.png	1	DF40-ddim
C:\My_Project\AIGC\AIGuard\real\2\real_25932_1.jpg	0	AIGuard-real
C:\My_Project\AIGC\fake_filter_hard_neg\smoothing\014641_fake_27755_1_smoothing.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\fake_filter_hard_neg\face_reshaping\fake_24034_1_face_reshaping.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\real\4\real_48245.jpg	0	AIGuard-real
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id7_0007\Celeb-real_id12_0002_304.png	1	DF40-pixart
C:\My_Project\AIGC\AIGuard\fake\3\fake_36953_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\fake_filter_hard_neg\smoothing\017088_fake_36790_1_smoothing.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id45_0008\5987.png	1	DF40-DiT
C:\My_Project\AIGC\AIGuard\fake\4\fake_44946_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\fake_filter_hard_neg\face_reshaping\fake_419_1_face_reshaping.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\fake_filter_hard_neg\smoothing\014100_fake_27088_1_smoothing.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\fake_filter_hard_neg\whitening\fake_8526_1_whitening.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\real\4\real_48953.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\real\0\real_5821.jpg	0	AIGuard-real
C:\My_Project\AIGC\AIGuard\fake\1\fake_14770_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\real\0\real_4788.jpg	0	AIGuard-real
C:\My_Project\AIGC\fake_filter_hard_neg\whitening\fake_29514_1_whitening.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\AIGuard\fake\0\fake_4890_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\1\fake_14139_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\3\fake_37831_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\fake_filter_hard_neg\eye_enlarging\fake_28213_1_eye_enlarging.jpg	1	fake_filter_hardneg
C:\My_Project\AIGC\celeba_train\009620.jpg	0	CelebA-train
C:\My_Project\AIGC\AIGuard\fake\2\fake_23538_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id7_0004\Celeb-real_id53_0004_399.png	1	DF40-pixart
C:\My_Project\AIGC\AIGuard\fake\1\fake_16171_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id20_0002\4525.png	1	DF40-DiT
C:\My_Project\AIGC\SiT\cdf\Fake_from_Celeb-real\id1_0002\2746.png	1	DF40-SiT
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00044\22961.png	1	DF40-DiT
C:\My_Project\AIGC\celeba_train\150792.jpg	0	CelebA-train
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id32_0003\YouTube-real_00267_161.png	1	DF40-pixart
C:\My_Project\AIGC\sd2.1\ff\751\907_287.png	1	DF40-sd2.1
C:\My_Project\AIGC\AIGuard\fake\1\fake_16179_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_23698_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\4\fake_49158_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\AIGuard\fake\2\fake_28035_1.jpg	1	AIGuard-fake
C:\My_Project\AIGC\SiT\ff\507\7811.png	1	DF40-SiT
C:\My_Project\AIGC\AIGuard\fake\1\fake_16047_1.jpg	1	AIGuard-fake
